jp,cn,kr,en
今日一日の授業を終えて部室へ向かう。,放学后，我走向社团活动室。,오늘 하루 수업을 마치고 부실로 향한다.,
部室が近づくにつれ、それに比例するように辺りは静かになっていく。,越是接近活动室，周围就越是安静。,부실에 가까워질수록 주변이 조용해진다.,
スリッパが階段をこする音を響かせながらぼくは部室の前へやってきた。,室内鞋踩在楼梯上发出轻微的声响，我一路走到了活动室门前。,나는 슬리퍼 끄는 소리를 울리며 부실 앞으로 다가갔다.,
「結構はやくきたつもりだけど、どうせいるんだろうな」,“感觉今天来得够早了，但学姐肯定早就到了吧。”,"「꽤 빨리 온 거 같은데, 어차피 계시겠지.」",
今日は帰りのホームルームも早く終わってここへはまっすぐきた。,今天班会结束得早，一放学我就径直前来活动室。,오늘은 종례가 빨리 끝나서 곧장 이곳으로 왔다.,
今までと比べるとかなり早い時間にきている。,跟平时相比，今天我算是来得相当早。,평소와 비교하면 상당히 빠른 시간에 도착했다.,
「今日は勝てるかもしれない」,“今天说不定能赢。”,「오늘은 이겼을 수도 있어.」,
別に勝負をしているわけではないけど。,尽管我们并没有在比赛谁更先到。,딱히 경쟁하는 건 아니지만.,
ぼくは言の葉サークルと札がかかった扉を叩く。,我敲了敲挂着茶言阅社牌子的门。,나는 말소리 서클 명패가 걸린 문을 두드렸다.,
「……あれ？」,“……咦？”,「……응?」,
いつもなら先輩が「入りたまえ」なんていって読書でもしているのに、今日は何の返事もない。,平时学姐都会一边看书一边招呼我进去，今天却没有任何回应。,"평소 같으면 책 읽던 선배님이 「들어오도록」하고 말했을 텐데, 오늘은 아무런 대답도 없다.",
「先輩？　入っていいですかー？」,“学姐？我可以进去吗？”,「선배님? 들어가도 되나요ー?」,
……,……,…….,
声をかけたがやっぱり返事はない。,我又问了一句，但房间里仍然寂静无声。,불러 봐도 대답이 없다.,
「こ、これは……」,“这……”,"「이, 이건…….」",
もしかしたら初めて先輩より早く部室に来れたかもしれない。,或许今天总算能比学姐更早到活动室了，这还是有史以来第一次。,어쩌면 처음으로 선배님보다 빨리 부실에 온 것일지도 모른다.,
無性に嬉しくなる。,我莫名感觉有些开心。,괜히 기분이 좋아진다.,
部室の鍵は先輩しか持っていないからここで先輩がくるのを待とう。,活动室的钥匙只有学姐拿着，于是我决定在门口等她来。,부실 열쇠는 선배님한테만 있기 때문에 여기서 선배님을 기다리자.,
先輩がどんな顔をするか楽しみだ。,真期待她到时候会露出怎样的表情。,선배님이 어떤 표정을 지을지 기대된다.,
「先輩はやくこないかなあ」,“学姐快点来吧。”,「선배님 빨리 안 오시나.」,
勝利を確信するため、念のため部室のドアノブを捻ってみると、,为了确认今天是否真的比学姐早到，我拧了一下活动室的门把手。,승리를 확정 짓기 위해 부실 문고리를 비틀어 보니,
「あれ？」,“咦？”,「어라?」,
ガチャっとドアノブは回って扉はいともたやすく開いてしまった。,咔嚓一声，房门不费吹灰之力便打开了。,철컥 하고 문고리가 돌아간다. 문이 너무 쉽게 열려 버렸다.,
少し軋んだ扉の開閉音がやけに耳に届く。,开门时的嘎吱声，此时听起来格外明显。,삐걱거리는 문 소리가 유난히 크게 들린다.,
「鍵のかけ忘れかな。いやいやそんなはずはない」,“是不是忘记锁门了？不对，应该不可能。”,"「깜빡하고 안 잠그셨나. 아니, 그럴 리가 없지.」",
