jp,cn,kr,en
ユエナとの約束の夜。,今晚是我和由依奈的约定之夜。,유에나와 맺은 약속의 밤.,
「いやいやいや、大袈裟だ大袈裟だ」,“不不不，太夸张了太夸张了。”,"「아니, 아니, 아니. 너무 지나쳐.」",
なんていうと大層に聞こえるけれど、実際はきっとそうではない。,虽然听起来很夸张，但实际肯定不是那么回事。,"약속의 밤이라고 말하니 거창하게 들리지만, 사실은 그렇지도 않다.",
朝から降り続けていた雨は無事に夜にはあがった。,下了一整天的雨，也终于在傍晚停下了。,아침부터 내리던 비가 다행히 밤에는 그쳤다.,
ぼくは濡れたアスファルトの上を早歩きにならないように慎重に歩く。,我为了不让自己走得太快，很谨慎地走在柏油马路上。,나는 젖은 아스팔트 위를 너무 빨리 걷지 않도록 조심히 걸었다.,
「なんでこんな緊張しちゃうんだ」,“为什么我会这么紧张啊？”,「왜 이렇게 긴장되는 거야.」,
ぼくは今、妙にドキドキしている。,我现在心里莫名地忐忑。,가슴이 묘하게 떨려 온다.,
それもそのはず、夜にまだよく知らない女の子と約束して会うなんて、そんな逢瀬のようなことはこれまでに経験がない。,不过这也自然，毕竟“和一个不太熟悉的女孩子约在晚上见面”这种类似幽会的事情，我可从来没有经历过。,"그도 그럴 것이, 잘 모르는 여자아이와 약속해 밤에 만나는 것이다. 이런 밀회 같은 만남은 처음이다.",
ポケットからスマホを取り出して時間を確認する。,我从兜里掏出手机，看了看时间。,주머니에서 스마트폰을 꺼내 시간을 확인한다.,
18:40,18:40,18:40,
スマホのホーム画面にはそう映し出されている。,手机屏幕上这么显示着。,스마트폰 홈 화면에 시간이 표시된다.,
「昨日も、このくらいの時間だったよね？」,“昨天也差不多是这个时间吧？”,「어제도 이 시간쯤이었지?」,
そう自問自答してみても答えを言ってくれるものはいない。,就算这么自问自答，也没有人回答我。,그렇게 물어도 답해 줄 사람은 없다.,
泉が近づくにつれ、足裏が地面を踏む感触が薄れていく。,我离泉水越来越近，脚底也越来越不踏实了。,"샘에 가까워질수록, 땅바닥을 밟는 감각이 점점 옅어진다.",
地面と足裏の間に見えないやわらかい空気みたいなのが入り込んで、浮き足立つってこんな感じなのかと実感する。,就像是地面和脚底中间涌进了莫名其妙的气体，不由得体会到什么叫做“不踏实感”。,"땅바닥과 발바닥 사이에 보이지 않는 부드러운 공기막 같은 것이 들어와, 마치 지면에서 떠 있는 기분이었다.",
「ふぅ」,“呼。”,「휴.」,
泉のすぐそばまでやってきた。,我走到了泉水旁边。,샘 바로 근처까지 찾아왔다.,
果たしてユエナはちゃんといるんだろうか、そんな不安を胸に舗装された道を外れ泉を目指す。,不知道由依奈到底会不会在这里，我怀着不安离开道路朝泉水走去。,"과연 유에나는 이곳에 와 있을까. 그런 불안감을 안은 채, 포장된 길을 벗어나 샘으로 향한다.",
遠い場所から目が合っても気まずいのでなるべく下を向きながら歩く。,感觉远远对上眼睛有些尴尬，所以我是尽可能低着头走的。,멀리서 눈이 마주치면 거북하니 가급적 아래를 보며 걷는다.,
空はまだ完全に真っ暗でもなく、今日も月がでていて明るいのにぼくは明かりを灯すふりをしてスマホをいじる。,天也没完全黑下来，月亮也挺亮的，但我却假装要打开照明，摆弄着手机。,하늘은 아직 완전히 어두워지지 않았다. 오늘도 달이 밝게 떠 있지만 나는 불빛을 찾는 척 스마트폰을 만진다.,
「そろそろかな」,“应该差不多了吧。”,「거의 다 왔어.」,
ぼくはスマホをポケットにしまって泉へやってきた。,我把手机收进口袋，走到了泉水边。,나는 스마트폰을 주머니에 넣고 앞으로 나아갔다.,
「……」,“……”,「…….」,
――ちゃんとユエナはいた。,——由依奈在这里。,――다행히 유에나가 있다.,
昨日と同じようにまた泉の中央に。,跟昨天一样，在泉水的正中央。,어제와 같이 또 샘 한가운데에.,
「なんだって、また」,“不是，你怎么又……”,「무슨 생각으로 또.」,
あのマジックができるのなら濡れても問題ないのかもしれないけど、それでもなんで泉の中にいるんだろう。,虽然有那个魔法，所以衣服湿了不是什么问题，可她又为什么要待在水里呢？,"그 마법이 있으니 젖어도 상관은 없겠지만, 어째서 샘 가운데에 있는 걸까.",
そういうのも色々今日聞いてみればいいか。,如果今天也能问问就好了。,그런 것도 포함해 오늘은 이것저것 물어보면 되겠다.,
「えーと、ユエナこんばんは」,“那个……晚上好啊，由依奈。”,"「저기, 유에나. 안녕.」",
ユエナが泉にいるのを見るのはこれで二回目、いや三回目か。どちらにしろこの状況に若干慣れてしまっている自分に驚きながらユエナに声をかける。,我应该是第二次……不对，是第三次看见她在泉水里了。不管怎么说，我居然都有些习惯这状况并向她搭话，心下还是有些吃惊的。,"샘에 빠진 유에나를 보는 것은 이걸로 두 번째, 아니 세 번째인가. 하여튼 이 상황에 다소 익숙해졌다는 것에 스스로 놀라며 유에나에게 인사했다.",
ユエナはぼくに気づき視線を向けた。,由依奈也注意到了我，把脑袋转向这边来。,유에나가 내 인기척을 느끼고 시선을 돌렸다.,
「ともき」,“智纪。”,「토모키.」,
ユエナがぼくの名前を呟いた。,由依奈念出了我的名字。,유에나가 내 이름을 중얼거린다.,
「また水の中入ってるんだね。だめってことではないけど」,“你又进水里了啊，虽然不是不行啊。”,「또 물에 들어가 있네. 안 될 건 없지만.」,
ユエナが一度水面を覗き込んでから、こくんと頷く。,由依奈看了下水面，点了点头。,유에나가 수면을 한번 바라본 다음 고개를 끄덕였다.,
「そこって魚がいたりするの？」,“那里难道有鱼吗？”,「거기 물고기라도 있어?」,
「魚？」,“鱼？”,「물고기?」,
ユエナは空を仰いでうーんと考えてから、,由依奈抬头望天，思考了一下，,유에나는 하늘을 올려다보며 깊이 고민하다가,
「分からない」,“不知道。”,「모르겠어.」,
そう答える。,这么回答道。,그렇게 답했다.,
「あ、そうなんだ」,“啊，这样啊。”,"「아, 그렇구나.」",
魚取りではない、と。,看来并不是抓鱼了。,물고기 잡이는 아니고.,
心の中のチェックシートに×をつける。,我把心中的列表中的这一项给划去了。,마음속 체크 리스트에 X표를 그린다.,
「そこって冷たくない？　風邪ひかない？」,“那里不冷吗？不会感冒吗？”,「차갑지는 않아? 감기 안 걸려?」,
「うん」,“嗯。”,「응.」,
「もしかして何かさがしものがあったりするなら手伝うよ」,“如果有什么问题，我也可以帮忙的。”,「혹시 물건 찾는 거라면 도와줄게.」,
「違う」,“不是”,「아니야.」,
「そ、そっか」,“啊，是吗。”,"「그, 그래?」",
「じゃあ、そこって気持ちいい？」,“那……那里很舒服吗？”,「그럼 거기 있으면 기분이 좋아?」,
昨日のぼくはそれなりに気持ちが良かったけど。,虽然昨天我也算挺舒服的。,어제 나는 그럭저럭 기분 좋았는데.,
「んー、そんなに」,“嗯……并没有。”,"「음, 그다지.」",
どうやらユエナはそうでもないらしい。,看来她也不是这么想的。,아무래도 유에나는 아닌 듯하다.,
ぼくはどんどん心の中のチェックシートに×をつける。,我心里的列表基本都被划了个遍了。,나는 계속해서 체크 리스트에 X표를 친다.,
「なるほどね〜」,“原来如此啊～”,「그렇구나~」,
これはまるであれみたいだ。それは赤いですか？ それは動きますか？ みたいな質問をしていって最終的にそれはなになにですね、と答えるゲーム。,这好像就跟那个差不多——那是红色的吗？那个能动吗？——最后归结到“那是什么”的问答游戏上。,이건 꼭 그거 같다. 그건 빨간색인가요? 움직이나요? 이런 질문을 해서 마지막에 무엇인지 맞히는 게임.,
ゲームの名前は分からないけど、そう考えると楽しくなってぼくは質問を考える。,虽然我不清楚那个游戏叫什么，不过因为挺有趣的，所以我也考虑起来问什么。,"게임 이름은 모르겠지만, 그렇게 생각하니 신이 나 질문을 생각했다.",
「えーと、じゃあ次は……」,“那么，下一个……”,"「어, 그럼 다음은…….」",
「ともき」,“智纪。”,「토모키.」,
「え、なに？」,“哎，怎么？”,"「응, 왜?」",
名前をよばれる。,由依奈在叫我的名字。,이름을 부른다.,
ユエナはすぐに何かを言う訳でもなく、このゲームはここでおしまいとでもいうようにじゃぶじゃぶと水を割ってこちらへ向かってきた。,但她也并没有继续说下去，而是直接涉水过来，仿佛在说游戏到此为止。,"유에나는 그 뒤로 아무 말도 하지 않고, 게임은 끝났다는 듯 첨벙첨벙 물을 가르며 이쪽으로 다가왔다.",
泉からあがってきたユエナが正面に立つ。,由依奈从泉水里出来，站在我面前。,샘에서 나온 유에나가 정면에 선다.,
昨日と同じように、全身がびしょびしょだ。なんだってまたこんなことを……。,跟昨天一样，浑身都湿漉漉的。为什么又是这样子……,어제와 다름없이 온몸이 흠뻑 젖었다. 대체 왜 또 이런 짓을…….,
「また乾かす？」,“又要烘干吗？”,「또 말릴 거야?」,
「うん」,“嗯。”,「응.」,
「あ、はい了解です」,“啊，好，明白了。”,"「아, 네. 알겠습니다.」",
ぼくはユエナから自然と距離をとる。,我很自然地拉开了和由依奈的距离。,나는 자연스레 뒤로 물러났다.,
ユエナはぼくが離れるのをまって、またあの魔法のようなマジックを披露した。,她则是等着我拉开距离，然后又施展了一遍那宛如魔法一般的魔术。,"유에나는 내가 충분히 물러날 때까지 기다려, 다시 한 번 신비한 마법을 보여 주었다.",
「……っ」,“……”,「……응.」,
乾かすというよりも水滴を弾き飛ばすような、そんなマジックの弊害である飛んでくるたくさんの水滴から顔を守りながら、ぼくはますますユエナという子が不思議で仕方がなかった。,与其说是 “烘干”，更像是把水滴弹出来的感觉。我则是用手阻挡着“魔术的危害”，心里却对这个叫做由依奈的女孩子愈发感到好奇了。,"말린다는 표현보다는 물방울을 전부 튕겨내는 느낌이다. 나는 얼굴로 날아드는 물방울을 막으면서, 점점 더 유에나란 아이의 신비함에 빠져들었다.",
「ともき、濡れた？」,“智纪，弄湿了？”,"「토모키, 젖었어?」",
マジックを披露し終えたユエナがゆっくり歩み寄ってくる。,她表演完魔术，慢慢走了过来。,마법을 끝낸 유에나가 천천히 걸어온다.,
「少しね」,“稍微有点。”,「조금.」,
「乾かす？」,“要弄干吗？”,「말릴 거야?」,
「ううん、いいよ。濡れたといってもほんの少しだし」,“啊，不用了。也就湿了那么一点点。”,"「아니, 괜찮아. 엄청 조금밖에 안 젖었으니까.」",
ここで濡れたといったらまた服を交換させられることになる。,如果我说弄湿了，她肯定又要我换衣服。,여기서 젖었다고 말하면 또 옷을 교환하게 될 것이다.,
あれが決してすごい嫌だったかと聞かれればぼくはそうでもないと答えるけど、できればもう二度とやりたいことではなかった。,虽然说不上非常讨厌，但我也不想再来一次那样的事情了。,"죽을 만큼 싫었느냐고 묻는다면 그 정도는 아니라고 대답하겠지만, 가능하다면 두 번 다시 하고 싶지 않은 경험이다.",
「ともき」,“智纪。”,「토모키.」,
「なに？」,“什么？”,「왜?」,
「遠花火」,“空焰火。”,「별꽃.」,
「あ、そうだったね」,“啊，对了。”,"「아, 그랬지.」",
「……うん」,“……嗯。”,「……응.」,
ユエナはこくんと頷く。,她点了点头。,유에나가 고개를 끄덕인다.,
「じゃあ立っているのもあれだし、あそこに座ろう」,“站着也不是事，坐那里吧。”,"「그럼 서서 이야기하는 것도 뭐하니까, 저기에 앉자.」",
ぼくが指さしたのは泉の脇にある倒木。,我指向了倒在泉水旁边的树木。,나는 샘 옆에 쓰러진 나무를 가리켰다.,
ぬかるんだ地面に座るよりはあそこが一番良いだろう。,与其坐在湿漉漉的地上，坐那里肯定是最合适的。,진흙 위에 앉는 것보단 나무가 훨씬 나을 것이다.,
ぼくらはそこへ移動して倒木に座る。,我们走到了那棵倒树，坐了下来。,우리는 그곳으로 이동해 쓰러진 나무 위에 앉았다.,
