jp,cn,kr,en
「詩乃詩乃っ」,1,1001,sample1
「どうした、ユエナくん」,2,1002,sample2
「宣伝だって、ゲームの」,3,1003,sample3
「宣伝？」,4,1004,sample4
「うん、これ台本らしい」,5,1005,sample5
「ふむ……この度ノベルゲームを開発させていただく……,6,1006,sample6
なんだこれは、いらんっ」,7,1007,sample7
ポイッ,8,1008,sample8
「あっ」,9,1009,sample9
「どこのライターが書いたが知らんが、\nあんな台本などいらんに決まっているだろう」,10,1010,sample10
「こう言いたまえユエナくん」,11,1011,sample11
こしょこしょ,12,1012,sample12
「ん、わかった」,13,1013,sample13
「(ほんとに分かってるのか？)」,14,1014,sample14
「はろーえぶりわん、みなさん」,15,1015,sample15
「ちょーぜつスーパー、キュート可愛い、ユエナです」,16,1016,sample16
「そして～」,17,1017,sample17
「やあ君たち。立派で清楚、美しくかっこいい、東雲詩乃だ」,18,1018,sample18
「この物語では、部室でお菓子を食べて」,19,1019,sample19
「お茶でも飲んでのんびりするお話だ」,20,1020,sample20
「詩乃が持ってきてくれるお菓子は、いつも美味しい」,21,1021,sample21
「ちなみに、わたしは太らない」,22,1022,sample22
「無論、わたしも太らない」,23,1023,sample23
「夜にカップラーメンを食べても」,24,1024,sample24
「太らない」,25,1025,sample25
「んふふっ、パフェもなんほえでも、たへらえる！」,26,1026,sample26
「なんか食ってやがる！ 宣伝してくれ、宣伝！」,27,1027,sample27
「はっはっは！良い食べっぷりだ……,28,1028,sample28
ん？ユエナくん」,29,1029,sample29
「ふぇ？」,30,1030,sample30
「なにやらライターがお怒りのようだ、最後のセリフだけ\nさっさと言ってしまおう」,31,1031,sample31
「……ごくん、わかった」,32,1032,sample32
「「せーの……」」,33,1033,sample33
「「U-ena -遠花火の少女-を、よろしくお願いします！」」,34,1034,sample34
