jp,cn,kr,en
今は日曜日の夜。,周日的夜晚。,지금은 일요일 밤.,
窓の外からは僅かな雨音が聞こえる。,细细的雨声从窗外传来。,창밖에서 희미하게 빗소리가 들려온다.,
「……」,“……”,「…….」,
カーテンを開けた。,拉开窗帘。,커튼을 열었다.,
外を覗くと闇の中を雨はまっすぐ降りそそいでいる。,窗外的黑暗中下着雨。,밖을 내다보니 빗줄기가 어둠 속에 쏟아지고 있다.,
ユエナの言った通り、週末はずっと雨が降っていた。,正如由依奈所说，周末一直在下雨。,유에나가 말한 대로 주말엔 계속 비가 내렸다.,
天気予報によれば、どうやら明日には晴れるらしいけど。,不过根据天气预报，今天应该能放晴。,일기 예보에 의하면 아무래도 내일엔 그칠 듯하다.,
「宇宙人は百パーセント天気が分かる力でも持っているのかな。それとも天気を操る力とか」,“外星人是拥有百分之百预测天气的能力吗？还是说有操纵天气的能力呢？”,「외계인은 날씨를 100% 맞추는 힘이라도 가졌나. 아니면 날씨를 조작하는 힘이나.」,
今はこんな突拍子もない思いつきも、可能性はゼロではない。なんなら可能性は高いこともありえてしまう。,这个突如其来的想法并不是完全没有可能性。可能性其实还挺大。,터무니없는 발상이지만 이제 가능성이 전혀 없지는 않다. 오히려 높을지 모른다.,
「しまわなきゃ」,“得收拾一下了。”,「정리해야겠네.」,
机の上には宇宙関係の本や図鑑が出しっぱなしになっている。,桌子上摆着的全是跟宇宙相关的书籍和图鉴。,책상 위에는 외계인 관련 서적과 도감이 너저분하게 놓여 있다.,
久しぶりにこの週末は、宇宙人のことだったりUFOのことだったり、空を飛ぶ方法だったりを調べていた。,趁着周末，久违地调查了一下外星人、UFO还有在天上飞的方法。,"이번 주말에는 오랜만에 외계인이나 UFO, 하늘을 나는 방법 등에 대해 알아보았다.",
雨でどこにも出かけることはできなかったし、ちょうど良い機会でもあった。,毕竟下着雨也没法出门，正是个好机会。,비 때문에 어딘가 나갈 수도 없어서 마침 좋은 기회가 됐다.,
もとよりでかける予定もなかったけど。,而且实际上本来没有出门的计划。,어차피 나갈 약속도 없었지만.,
「お兄ちゃん、ごはん〜」,“哥哥，吃饭了～”,"여동생「오빠, 밥~」",
扉の向こうで妹の声がする。,门外传来妹妹的声音。,문 너머에서 여동생의 목소리가 들려온다.,
部屋の壁にかかった時計をみると夕飯の時間になっていた。,看了一眼墙上的表，已经到吃晚饭的时间了。,벽에 걸린 시계를 보니 저녁 시간이 되어 있었다.,
「はーい」,“好——”,「어ー」,
とりあえず返事だけすると、とたとたと足音が遠ざかる音がする。,回了一声之后，听到脚步声渐远。,일단 대답만 한다. 저벅저벅 발소리가 멀어져 간다.,
すぐに行く気にもなれなくて、ぼくはこの週末に何度も思い返した、今週あったことをまた思い返す。,也没打算马上就去，我又回想着这两天回忆过很多遍的，这周发生的事情。,"곧바로 나갈 마음도 들지 않아서 나는 이번 주말에 몇 번이고 떠올렸던, 이번 주에 있었던 일들을 다시 곱씹었다.",
はじまりは泉でユエナと出会ったことだった。,最开始，是在泉水边遇见由依奈。,시작은 샘에서 유에나와 만난 일이었다.,
