jp,cn,kr,en
「それで、遅刻したのか」,“所以你迟到了？”,「그래서 지각했다고?」,
「まあね」,“是啊。”,「그렇지.」,
「まあね、じゃねえこんにゃろ」,“是你个头啊。”,「태평한 소리 하고 앉았네.」,
「ああ、それとっておいたやつ！」,“啊，那是我故意留到最后的！”,"「아아, 그거 일부러 남겨둔 건데!」",
気づいた時には隣から箸がのびてきて、ぼくが最後までとっておくつもりだったからあげを一つを奪っていった。,等我发现的时候，我留到最后的炸鸡块就被他一筷子抢走了一块。,"알아챈 때에는 이미 젓가락이 들어와, 마지막에 먹으려던 닭튀김을 빼앗아 갔다.",
ぼくのからあげを奪った航生は、ぼくに見せつけるようにからあげを、さぞ美味そうに食べている。,航生抢走了我的鸡块之后，就像显摆似的摆出吃得很香的模样。,반찬을 뺏어 간 코세이는 보란 듯이 닭튀김을 아주 맛있게 우적거렸다.,
「なら」,“既然这样。”,「그럼.」,
「させるか」,“怎会让你得逞。”,「안 되지.」,
航生はとっさに腕でかばって自分の給食をガードする。,航生迅速用手臂护住了自己的饭菜。,코세이가 잽싸게 자신의 급식을 팔로 막아 지킨다.,
そんなことをしてたら前の席の女子に、冷ややかな目で見られたのでぼくらはそっと姿勢をただした。,看到我们的举动，前排女生抛来了冷眼，我们见状悄悄地摆正了坐姿。,그러다가 앞자리 여자한테 냉담한 시선을 받았기에 우리는 슬쩍 자세를 바로잡았다.,
ぼくはそこまで好きではない牛乳を飲みながら昨夜を思い出す。,我一边喝起了并不是很喜欢的牛奶一边回想着昨晚的事。,나는 그리 좋아하지 않는 우유를 마시며 어젯밤을 떠올렸다.,
あれは楽しい天体観測だった。,那真是愉快的天文观测。,즐거운 천체 관측이었다.,
それは夜学校に忍びこむ計画を立てた部活の時間から、最後に先輩と別れるまで。,从社团活动时间制定夜晚潜入学校的计划，直到最后和学姐分开为止。,"동아리 시간에 잠입할 계획을 세울 때부터, 마지막 선배님과 헤어질 때까지.",
その全ての時間、一秒一秒に対してぼくは最高の時間だったと言える。,对我来说，每一分每一秒的时间都是无与伦比。,"그 모든 시간, 1분 1초 전부 최고의 시간이었다.",
それはどこを切り取ったとしても揺るがない事実。,不管把哪一段拿出来都是毫无疑问。,어느 순간을 잘라내더라도 흔들리지 않는 사실.,
