jp,cn,kr,en
「星、きれいだね〜」,“星星，好美啊～”,"「별, 예쁘다~」",sample1
すぐ隣から小さな女の子の声。,女孩的声音从我身边传来。,옆에서 작게 들려오는 여자아이의 목소리.,sample2
振り向けば吐息がかかってしまいそうなそんな位置。,就在我一回头，呼吸就能吹到的位置。,돌아보니 숨결이 닿을 듯이 가깝다.,sample3
首を横に向けてみる。,试着转头过去。,고개를 옆으로 돌려 본다.,sample4
……けれどそれは見えない力で阻まれてしまった。,……却被什么看不到的力量阻止了。,……하지만 보이지 않는 힘에 저지당하고 말았다.,sample5
ああ、これは夢だ。,啊，这里是梦中。,"아, 이건 꿈이다.",sample6
ぼくにはその確信がある。,我敢肯定。,나는 확신했다.,sample7
「きれい」,“好美。”,「예뻐.」,sample8
女の子がまたつぶやく。,女孩又轻声说着。,여자아이가 다시 중얼거린다.,sample9
ぼくは彼女に振り向くことはできない。,我无法转向她。,나는 그녀에게서 떠날 수 없다.,sample10
だからぼくらの頭上に覆いかぶさる天を仰いだ。,所以，我仰望头顶的天空。,그래서 우리 머리 위를 덮은 하늘을 올려다보았다.,sample11
今にもこぼれて落ちてきそうな満点の星空。,那里有仿佛随时会坠落的满天繁星。,당장이라도 쏟아져 내릴 듯 총총한 밤하늘.,sample12
手が届くかもしれない。不意にそう思う。,说不定，伸出手去就能够到——我不禁这么想。,손이 닿을 것 같다. 갑자기 그런 생각이 들었다.,sample13
「手が届きそうだね」,“好像手能够到似的呢。”,「손이 닿을 것 같아.」,sample14
女の子がぼくが考えていたことと同じことを言って嬉しくなる。,女孩的话与我的想法不谋而合让我很是高兴。,내가 생각하던 것을 여자아이가 말해 주니 기분이 좋았다.,sample15
(ほんとうだ),（确实啊。）,(정말 그래.),sample16
意見が一致したのに声はでない。,虽然我与她意见一致，但是发不出声音。,마음이 통했지만 목소리가 나오지 않는다.,sample17
彼女と話したいのに、振り向くことも声をかけることもできない。,明明想与她说话，却无法回头，也无法发出声音。,그녀와 대화하고 싶지만 고개를 돌릴 수도 말을 걸 수도 없다.,sample18
不安になる。,不安。,불안해진다.,sample19
視界の端から黒い煙がのぼってきて、映し出されている星空を瞬く間に飲み込んでいこうとする。,视线边缘冒气黑烟，转眼间就要将这星空吞没。,"시야 끄트머리에서 검은 연기가 퍼져, 아름다운 밤하늘을 순식간에 집어삼키려 한다.",sample20
やめてくれ。,不要。,그러지 마.,sample21
「世界って、本当にきれい。ねえ、そう思うでしょう？」,“世界，真的好美。你是这么觉得吧？”,"「세상은 정말로 예뻐. 어때, 그렇게 생각하지?」",sample22
小さな声と、隣にいるだろう彼女のぬくもりを必死にとらえる。,我拼命捕捉着她咫尺的温暖与轻微的话语。,곁에 있는 그녀의 자그마한 목소리와 온기를 필사적으로 붙잡는다.,sample23
逃してしまったらきっとこの黒い煙に飲まれてしまう。,如果错过，肯定会被这黑烟吞没。,놓쳐버리면 분명 이 검은 연기에 먹히고 말 것이다.,sample24
(うん、本当にきれいだ),（嗯，真的好美。）,"(응, 정말 예뻐.)",sample25
声にならない声をあげた。,声不成声。,나오지 않는 소리를 내뱉는다.,sample26
世界はきれいだ。美しい。,世界如此美丽。,이 세상은 예쁘다. 아름답다.,sample27
ぼくのとなりで彼女がそういうのならそうに違いない。,身边的她这么说，那必不会错。,내 옆에 있는 그녀가 그렇게 말한다면 틀림없이 아름다울 것이다.,sample28
目を凝らす。,凝视。,집중한다.,sample29
視界に広がる星空を忘れないように、流れる星を見逃さないように。,不想忘却眼前宽广的星空，不想错过眼前划过的流星。,"눈앞에 펼쳐진 밤하늘을 잊지 않도록, 흐르는 별을 놓치지 않도록.",sample30
世界を、美しいとこれからも思えるように。,只求可以永远觉得，这世界如此美丽。,"이 세상이 아름답다는 것을, 앞으로도 잊지 않도록.",sample31
ふと、視界の中央で、空に星が咲いた。,忽然间，视野中央，星星绽放开来。,문득 시야 한가운데에 별이 반짝였다.,sample32
「わぁ〜っ！」,“哇～！”,「와아~!」,sample33
ぼくはそれが見えたことよりも、ぼくの隣で彼女が歓声をあげることに喜びを覚える。,只记得身边的她的欢呼声，比眼前的光景更让我雀跃。,"나는 그 광경을 본 것보다, 내 옆에서 그녀가 환호한 것에 기쁨을 느꼈다.",sample34
「見えた見えた！　やった！　すごいね、遠花火っ！」,“看到了看到了！太好了！好棒啊，空焰火！”,"「보였어, 보였어! 만세! 굉장하다, 별꽃!」",sample35
(うん！),（嗯！）,(응!),
遠花火と呼ばれたそれは、真っ暗な夜の空を着飾るように、オレンジ、白、と強く鮮やかな閃光を四方に散らし輝く。,被称为空焰火的光芒点缀在漆黑的夜空中。橘色、白色，强烈而鲜明的闪光四散绽开。,"별꽃이라 불리는 그것은 새카만 밤하늘을 장식하듯, 오렌지색, 흰색으로 강렬하고 선명한 섬광을 사방으로 흩뿌리며 빛났다.",
それはやがてブルーの色に変化してすぐに消えた。,随后变成蓝色，很快消失不见。,그것은 이윽고 파란색으로 변하더니 이내 사라졌다.,
ぼくはまた声にならない声をあげて、大きくうなずく。,我又一次发出不成声的声音，使劲点了点头。,나는 나오지 않는 목소리로 말하며 크게 고개를 끄덕였다.,
彼女の顔はみえなくても、その声で表情は容易に想像がつく。,即使看不到她的脸，也能从她的声音判断出表情。,그녀의 얼굴은 보이지 않지만 목소리를 들으니 어떤 표정일지 쉽게 예상됐다.,
それにきっとこれは忘れることはない。,我一定不会忘记的。,잊으라고 해도 잊을 수 없다.,
ぼくは、彼女のその表情が――好きなんだから。,因为——我喜欢她那样的表情。,"나는, 그녀의 그 표정을―― 좋아하니까.",
「ねえねえ、遠花火の正体、知ってる？」,“我说，你知道空焰火到底是什么吗？”,"「있잖아. 별꽃의 정체, 알고 있어?」",
彼女がぼくに聞いてくる。,她向我询问着。,그녀가 나에게 묻는다.,
ぼくは静かに首を横に振る。,我默默摇了摇头。,나는 조용히 고개를 가로저었다.,
「ふふ、そっか〜。実はわたしも。たくさん調べたけど遠花火のことはなんにも分かんない」,“嘿嘿，不知道呀～其实我也不知道。虽然调查了很多关于空焰火的事，但还是搞不清楚。”,"「후후, 그렇구나~ 사실은 나도 그래. 엄청 조사해 봤지만 별꽃에 관해서는 하나도 모르겠어.」",
「いつか分かるかな〜」,“不知道什么时候才能找到真相啊～”,「언젠가는 알게 되려나~」,
女の子は笑って、展望台の手すりに肘をついて身体を倒す。,女孩笑了起来，用手肘撑着瞭望台的栏杆靠了上去。,여자아이는 웃으면서 전망대 난간에 팔꿈치를 대고 몸을 앞으로 기울였다.,
「いつか遠花火の正体、わかるといいね」,“要是有一天能查明空焰火的真相就好了。”,「언젠가 별꽃의 정체를 알게 됐으면 좋겠어.」,
うん。そのためにぼくは、あの日から遠花火の虜になったんだ。,嗯。为了这个目标，从那天开始，我就成了空焰火的俘虏。,"응. 그러기 위해서 나는, 그날 이후로 별꽃에 매달리게 됐지.",
「あ……」,“啊……”,「아…….」,
彼女が声をあげる。,她叫了一声。,그녀가 아쉬운 듯 숨을 토한다.,
遠花火は小さな火花を残し夜の闇に吸い込まれるように消えていった。,空焰火残留的火光被黑夜吞没，消散。,별꽃은 작은 불꽃을 남기고 밤의 어둠 속으로 빨려 들어가듯 사라졌다.,
「消えちゃった……」,“消失了……”,「사라졌어…….」,
彼女は身体を起こす。,她站直身体。,그녀가 몸을 일으킨다.,
「また、一緒にみられるといいね」,“要是能再一起看就好了。”,「또 같이 볼 수 있었으면 좋겠다.」,
彼女の声が響いた。,她的声音响起。,그녀의 목소리가 울려 퍼진다.,
もちろん。,当然。,물론이지.,
ぼくは確かに、そう返事をした。,我确实是这样回答的。,"나는 확실하게, 그렇게 대답했다.",
まだ小さかったぼくに、愛だとか恋だとか、そういうのは分かっていなくて、,依然年幼的我尚不知道爱与恋是什么。,아직 어렸던 나는 사랑이란 것이 무엇인지 몰랐기에,
だけど、あの時から少しだけ大人になった今なら分かる。,但如今，长大了一些的我能够明白。,그 뒤로 조금이나마 어른이 된 지금이라면 안다.,
ぼくはあの時間が、あの世界が、そして彼女が――たまらなく、どうしようもなく好きだったということ。,那段时间、那个世界、那个她——我无可奈何地、无可形容地喜欢着。,"나는 그 시간을, 그 세계를, 그리고 그녀를―― 못 견디게, 어쩌지 못할 만큼 좋아했다는 것을.",
この時間が、止まってしまえばよかったのに、なんて思っていたということ。,要是时间可以停止就好了——我曾经是这样想着。,"이 시간이 이대로 멈춘다면 좋을 텐데, 하고 생각했다는 것을.",
そして一人で生きていくということは、とても難しいということ。,还有一个人活着，是非常困难的。,"그리고 홀로 살아가는 것은, 몹시 힘들다는 것을.",
だが、彼女のそんな言葉を最後に、世界は先の見えない黒い煙でうめつくされていってしまった。,然而在她最后一句话之后，世界被看不见的黑烟所笼罩。,"하지만 그녀의 그 말을 마지막으로, 세계는 끝이 보이지 않는 검은 연기로 가득히 뒤덮이고 말았다.",
「……寝てた」,“……睡着了啊。”,「……깜빡 졸았네.」,
見慣れた机の上の光景が目に飛び込んでくる。,桌前熟悉的光景映入眼帘。,낯익은 책상 위의 광경이 눈에 들어온다.,
栞も挟まずにページを開いたままの本を見つけ慌てて栞を挟んで閉じた。,慌张地给敞开着没有夹书签的书夹上书签合起来。,책갈피도 꽂지 않고 열어 놓은 책이 있다. 황급히 책갈피를 꽂은 뒤 닫는다.,
いつのまにか目尻にたまっていた、涙に近い何かを強引に拭う。,擦掉眼角不知何时溢出的蕾丝眼泪的东西。,"언제부터인지 눈가에 고여 있던, 눈물과 비슷한 무언가를 억지로 닦는다.",
今は何時だろう。机の上に置いてあるスマホを探す。,现在几点了？我在桌上找着手机。,지금이 몇 시지. 책상 위에 놓아 둔 스마트폰을 찾는다.,
ほどなくして見つけると、画面をタップしロック画面を開いた。,很快就找到了，我点了一下屏幕看了下锁屏画面。,금세 스마트폰을 찾아 화면을 터치해 잠금 화면을 연다.,
18:30,18:30,18:30,
もう夕飯の時間だ。,已经是晚餐时间了。,벌써 저녁 시간이다.,
「うーんっ」,“呜……”,「으응ー」,
