jp,cn,kr,en
「ほんとうに降った」,“真的下雨了。”,「진짜로 내린다.」,sample1
目覚ましが鳴るよりも前に起きると今日は雨だった。,闹钟响之前我就醒了。今天下起了雨。,알람이 울리기 전에 일어나 보니 비가 오고 있었다.,sample2
「明日は雨が降る」,“明天会下雨的。”,,
ユエナの天気予報が当たったのだ。,由依奈的天气预报说中了。,유에나가 가르쳐 준 일기예보가 맞았다.,
「不思議な夜だったなあ」,“真是个神奇的夜晚。”,「신기한 밤이었어.」,
泉の真ん中でずぶ濡れの女の子。名前はユエナ。,泉水中央浑身湿透的女孩子。名字叫由依奈。,샘 한가운데에 흠뻑 젖은 여자아이. 이름은 유에나.,
濡れた服を一瞬で乾かす魔法のようなマジックのような。,一瞬间就把衣服弄干的不知是魔法还是魔术。,"젖은 옷을 단숨에 말리는 마술, 혹은 마법.",
「あ……」,“啊……”,「아…….」,
昨夜のことをあれこれと思い出しているうちに、自分は昨日はじめて女子の制服を着たことを思い出す。,回想昨晚发生的事，同时想起昨晚第一次传了女生的校服。,"어젯밤 일을 떠올리던 중, 나는 어제 처음으로 여자 교복을 입었던 것이 떠올랐다.",
体育祭の応援で女子が男子の学ランを着ることはあっても男子が女子の制服を着ることなんてない。,运动会上加油的时候女生有穿过男生的校服，但男生没有穿过女生的校服。,체육 대회 응원으로 여자가 남학생 교복을 입기는 해도 남자가 여자 교복을 입는 경우는 없다.,
コントとかでした見たことがない。,只在喜剧小品里见过。,콩트 같은 게 아니고서야 볼 수 없다.,
「誰にも見られてないよね？」,“没有被人看到吧？”,「아무도 못 봤겠지?」,
今更ながら不安になる。,事到如今还是感到不安。,뒤늦게 불안해진다.,
きっと大丈夫だろう。それにしてもぼうっとしているとすぐに思い出してしまう。,肯定没事的。不过一发呆就会回想起来啊。,분명히 괜찮을 것이다. 하지만 멍하니 있다 보면 의도치 않게 계속 그 장면이 떠오르고 만다.,
……もしかしたら似合ってたりして。,……说不定还挺合适的。,……혹시 꽤 어울렸던 거 아니야?,
「いやいやいやいや」,“不不不不。”,"「아니, 아니, 아니, 아니.」",
頭をぶんぶんと振って、枕もとのスマホを手に取る。,我来回摇了摇头，拿起枕边的手机。,머리를 휘휘 흔들고 머리맡의 스마트폰을 집어 든다.,
